"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"658",1,2012,1,1,29499,11,822239726,124,27,123,91,49,61,3,0,17,22
"659",1,2002,1,1,30427,7,1202722675,235,106,90,90,79,71,26,0,7,37
"660",1,2022,2,4,2711,0,343197054,105,12,160,61,65,64,1,0,12,4
"661",1,2013,8,16,4310,0,240769997,13,0,115,60,37,71,8,0,48,4
"662",2,2019,8,4,5342,0,426204830,33,123,141,37,17,67,2,0,34,9
"663",1,2016,8,5,2393,0,421135627,22,13,160,31,30,88,7,0,8,8
"664",1,2019,10,4,3444,7,554875730,24,85,145,57,23,66,4,6,15,4
"665",1,2019,6,21,5443,0,467727006,45,1,89,46,43,43,23,8,8,22
"666",3,2020,7,24,272,4,327498031,7,21,95,84,49,72,8,0,15,8
"667",1,2021,12,10,975,0,185408548,11,0,160,60,47,62,3,0,38,4
"668",7,2022,1,14,1034,1,245400167,19,5,174,67,74,75,44,0,7,30
"669",3,1995,12,28,18773,0,579395142,128,17,92,77,76,84,3,0,38,4
"670",2,1999,1,1,19067,0,675039469,78,15,134,93,61,74,9,0,17,8
"671",2,2021,11,19,3541,2,252871192,57,13,172,31,4,86,1,0,28,17
"672",1,2021,12,17,1492,0,231996128,44,63,80,76,92,62,6,0,8,13
"673",1,2017,3,30,33206,1,1929770265,284,114,150,91,42,60,0,0,9,12
"674",2,1999,11,21,17115,0,918915401,83,63,80,78,53,74,4,0,45,21
"675",2,2020,1,16,6955,0,1180896317,65,45,166,81,83,75,14,0,29,34
"676",1,2017,10,4,2742,0,498960285,5,1,120,67,8,54,27,0,8,4
"677",1,2020,2,29,4214,11,685071800,21,20,92,86,89,79,17,0,11,6
"678",1,2022,1,28,2026,0,258714692,47,3,85,74,61,52,30,0,26,9
"679",2,2022,1,15,352,0,143139338,10,0,154,79,86,52,66,0,9,7
"680",2,2021,10,22,1517,0,209768491,42,7,92,73,37,74,28,0,14,6
"681",2,2022,2,11,847,0,64714573,25,0,140,89,75,70,6,0,13,5
"682",1,2022,2,11,910,0,50746620,20,3,89,65,60,60,11,0,10,40
"683",1,2022,1,28,601,0,154119539,28,73,135,89,89,86,16,0,8,5
"684",1,2021,11,19,1800,0,181328253,43,36,140,51,66,53,60,0,11,18
"685",1,2015,7,24,1930,0,370068639,3,0,82,47,44,76,8,91,9,3
"686",1,2014,1,1,33032,0,2280566092,363,129,79,78,58,45,47,0,18,3
"687",1,2019,10,4,6332,0,563902868,47,116,88,31,31,63,47,27,21,12
"688",1,2021,12,24,509,9,317622165,8,106,139,44,18,38,70,0,12,4
"689",2,2022,1,14,971,2,291709698,35,104,124,73,68,83,55,0,90,7
"690",1,2019,10,4,2578,0,203680270,8,67,80,39,45,55,73,0,9,21
"691",2,2022,2,4,1064,0,81350745,42,1,120,84,54,51,47,0,12,40
