"","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_."
"214",1,2023,3,31,839,18,232896922,20,110,124,84,64,39,3,0,11,4
"48",1,2016,11,24,2483,59,1647990401,68,21,134,59,51,52,9,0,15,7
"134",2,2023,1,11,5724,44,721975598,119,108,122,78,50,63,27,0,9,5
"88",2,2022,5,6,8870,43,1440757818,104,120,92,91,43,71,9,0,9,8
"84",1,2023,7,7,139,17,39228929,16,72,142,50,20,64,1,0,12,3
"398",2,2022,4,21,4796,9,606361689,124,66,174,70,57,64,23,0,8,32
"83",2,2023,6,23,267,9,39709092,9,6,130,63,36,34,76,0,35,9
"476",2,2017,11,10,2209,0,135723538,72,90,114,59,60,94,24,0,10,4
"136",4,2023,6,2,1051,16,109276132,31,37,140,63,22,54,46,0,12,8
"451",1,2013,10,25,6596,0,485285717,144,99,160,51,69,81,0,0,21,5
"377",1,2022,10,12,288,6,319566866,11,80,96,70,40,51,35,0,10,4
"94",1,2017,11,8,4875,23,685032533,19,45,136,62,19,53,11,0,6,4
"446",1,2011,10,14,12353,0,807561936,35,0,93,35,38,23,91,0,29,3
"320",1,2022,1,21,2459,20,448843705,20,68,120,71,57,97,1,0,13,11
"466",1,1984,1,1,1087,0,351636786,90,35,101,72,91,87,14,0,13,3
"324",1,2017,2,20,10431,7,920045682,71,53,172,60,77,78,45,0,12,6
"474",1,2022,12,9,989,0,67540165,5,9,90,53,47,74,9,0,34,4
"433",1,2020,12,24,10426,2,826623384,133,109,121,46,53,78,23,0,72,6
"346",1,2022,10,31,629,14,303216294,32,3,94,73,65,79,5,2,11,6
"409",1,2014,8,8,1776,14,646886885,1,9,140,58,4,60,7,41,8,3
"316",1,2023,2,10,2040,4,165584767,81,27,116,90,96,73,62,0,9,4
"16",1,2022,12,8,8109,77,1163093654,183,162,89,64,43,73,5,17,16,4
"100",1,2023,6,9,674,47,118482347,20,106,93,62,57,59,3,0,38,3
"289",2,2018,3,29,4188,15,705469769,30,70,114,32,17,74,14,0,17,3
"27",2,2022,3,25,7112,77,899183384,202,119,107,80,82,80,43,0,14,4
"124",2,2022,12,9,763,26,2762,21,110,162,49,78,64,19,0,11,4
"41",2,2023,2,10,692,25,354495408,10,107,144,56,84,65,23,0,10,6
"477",3,1958,1,1,6290,0,295998468,89,39,113,73,72,32,77,0,15,5
"369",2,2019,6,28,6398,31,1435127549,177,109,176,75,43,65,15,0,11,32
"262",2,2023,2,2,2127,33,266624541,45,80,178,79,58,78,34,0,11,25
"300",2,2023,4,7,209,4,95816024,4,45,89,73,44,57,39,0,32,6
"86",2,2023,3,3,2114,44,223633238,80,75,124,78,70,68,3,1,11,4
"221",2,2023,4,4,291,8,127026613,8,78,133,78,90,84,31,0,7,4
"385",1,2022,11,30,1225,0,156338624,27,0,133,66,74,84,25,0,21,4
"62",2,2023,2,3,5184,41,156338624,154,84,133,70,86,81,25,0,25,5
"258",1,2023,4,21,244,12,118810253,6,84,85,70,83,84,31,0,47,30
"345",2,2022,11,5,86,0,139836056,11,101,94,59,44,56,80,0,6,3
"310",1,2022,12,9,993,4,267789608,30,84,130,74,79,87,45,0,30,3
"360",1,2022,12,8,531,4,134294498,20,1,135,81,97,77,75,0,35,3
"395",2,2022,11,25,1368,0,184308753,12,1,108,44,38,77,9,0,9,20
"98",1,2022,12,9,2839,25,399686758,58,156,143,56,39,55,14,0,11,13
"107",3,2017,11,10,21097,52,1605224506,384,135,116,80,92,80,4,0,10,3
"251",1,2000,1,1,20763,27,1424589568,81,53,104,95,78,66,3,0,4,6
"110",1,2011,1,1,14739,43,1163620694,88,112,108,61,47,68,0,0,13,3
"195",1,2020,2,10,1788,14,405136812,1,50,139,48,37,41,32,0,10,10
"208",2,2023,3,30,681,10,161460990,15,92,132,85,53,68,40,0,9,4
"351",1,2022,12,9,2536,6,284908316,59,100,100,36,28,28,81,0,18,3
"121",2,2023,6,22,201,11,55842345,19,117,128,75,79,63,33,0,15,4
"145",3,2023,7,13,437,31,11599388,17,29,97,79,92,89,5,0,6,5
"111",2,2012,1,1,26792,32,1093605526,69,113,144,74,37,53,7,0,21,10
"248",2,2023,5,11,269,4,71573339,7,2,108,84,55,47,26,0,20,64
"185",1,2017,3,21,13091,17,841749534,61,96,94,37,17,47,2,46,11,3
"260",1,2023,2,24,1020,35,206399629,15,26,80,52,57,48,86,0,15,39
"334",2,2023,3,3,615,2,116599790,22,82,94,68,81,82,53,0,9,13
"206",1,2023,6,2,290,19,65496046,9,101,105,89,67,78,9,0,7,33
"246",2,2022,11,4,4657,18,573633020,84,84,153,56,42,52,5,0,36,24
"401",1,2014,1,1,17492,3,1606986953,136,24,82,68,50,49,56,0,8,4
"418",1,2022,11,4,1703,0,246390068,38,45,148,47,15,52,38,13,29,5
"424",1,2022,8,12,4827,0,428685680,104,17,133,95,91,89,6,0,31,24
"209",2,2023,6,2,332,5,70106975,18,41,120,78,5,30,21,0,13,5
"458",4,1971,12,1,10829,0,460492795,130,1,147,33,39,61,32,0,77,3
"407",3,2022,4,27,5491,14,556585270,128,84,83,46,34,64,31,0,7,34
"47",1,2022,5,13,8431,76,1085685420,241,127,140,71,82,81,11,0,6,5
"193",1,2022,5,6,9037,42,1264310836,124,133,107,65,19,72,10,0,13,25
"197",1,2010,7,20,492,36,540654286,4,3,95,84,52,77,12,0,7,4
"53",1,2023,2,24,1133,39,153372011,14,71,107,92,55,70,18,0,15,7
"361",1,2022,7,28,242,0,70069745,12,2,128,82,61,59,30,0,12,4
"108",1,2017,4,28,3423,21,1116995633,41,100,117,61,45,69,2,0,9,3
"344",1,2023,1,31,430,0,83021468,15,17,144,68,83,81,9,0,8,4
"330",3,2022,7,25,3301,30,471819764,72,64,102,83,58,83,21,0,10,5
"426",1,1973,1,5,168,0,838586769,0,0,80,39,24,43,39,0,23,3
"469",2,2022,12,8,1420,4,155653938,13,87,78,67,22,59,76,1,15,16
"350",1,2022,5,31,162,6,156777415,1,10,140,58,26,38,91,0,10,4
"81",1,1975,1,1,31123,55,2009094673,300,65,102,48,50,73,43,0,15,4
"154",2,2023,2,2,894,9,233801632,14,88,160,69,61,71,33,0,31,20
"308",2,2023,3,24,407,0,77377503,16,15,134,67,11,76,8,47,30,7
"382",3,2023,1,27,1890,0,103787664,86,1,115,70,84,90,17,0,41,6
"186",1,2023,5,19,67,8,47956378,7,10,90,74,36,63,26,0,27,5
"419",1,2022,7,20,4169,44,482257456,57,44,140,91,97,57,38,0,40,29
"1",2,2023,7,14,553,147,141381703,43,263,125,80,89,83,31,0,8,4
"282",1,2022,4,28,924,18,404887295,17,80,173,59,69,53,12,0,23,3
"192",1,2021,4,9,2619,12,350381515,47,90,130,63,49,73,5,0,9,3
"233",2,2023,6,5,215,6,51985779,6,14,84,43,14,74,1,0,19,8
"378",1,2022,5,6,4572,33,909001996,74,113,100,80,29,67,29,0,12,3
"287",2,2022,12,24,406,5,198275403,3,31,139,70,77,48,37,0,12,5
"49",2,2016,9,21,29536,79,2565529693,281,137,186,68,49,59,16,0,13,28
"80",1,2023,6,22,370,20,43857627,12,16,98,68,40,79,33,0,30,6
"403",6,2022,12,12,130,4,140187018,21,79,116,77,65,80,6,0,15,4
"112",1,2022,12,2,213,6,179659294,7,6,130,51,18,44,76,0,11,3
"171",1,2018,5,25,5897,19,1374581173,0,0,150,65,51,55,73,0,14,3
"167",1,1983,1,6,22439,19,1593270737,211,74,117,82,73,45,54,0,7,3
"11",2,2023,4,17,2876,40,505671438,41,205,83,57,56,72,23,0,27,5
"453",1,2011,10,14,7655,0,476244795,5,0,151,65,70,47,87,0,9,4
"358",1,2022,5,6,968,4,203221468,16,53,140,53,51,70,49,0,14,3
"137",3,2022,12,2,1682,46,276259178,24,90,119,75,48,53,18,0,18,34
"66",1,1999,1,1,31358,43,1755214421,196,2,173,43,28,66,0,0,23,3
"194",1,2023,7,7,86,11,30343206,3,33,146,50,67,89,0,0,19,8
"252",3,2022,12,16,1267,20,231332117,41,22,93,84,96,79,43,0,18,11
"367",1,2017,8,25,3600,11,1022258230,7,0,140,75,18,25,78,0,11,26
"279",1,2022,7,28,7613,33,782369383,180,90,130,92,78,62,18,0,6,10
